[1010/113822:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/174521:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173454:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173606:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173706:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173759:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173833:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173912:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175312:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175937:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180047:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180103:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180239:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180252:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180304:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181345:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100026:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100121:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/112025:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/112228:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/112458:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/113035:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/113139:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/114734:ERROR:file_io.cc(30)] read: expected 4, observed 0
